GHO;Indicator;PUBLISH STATES;Year;WHO region;Country;Age Group;Sex;Display Value;Numeric Value;Low Value;High Value;Comments
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1989;Europe;Armenia;20+;Male;24.1 [22.6-25.7];24.1;22.6;25.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1994;Europe;Armenia;20+;Male;24.0 [22.7-25.2];24;22.7;25.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1996;Europe;Armenia;20+;Male;24.0 [22.9-25.1];24;22.9;25.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2003;Europe;Armenia;20+;Male;24.5 [23.8-25.2];24.5;23.8;25.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2005;Europe;Armenia;20+;Male;24.8 [24.1-25.5];24.8;24.1;25.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1984;Western Pacific;Australia;20+;Male;25.2 [24.7-25.7];25.2;24.7;25.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1986;Western Pacific;Australia;20+;Male;25.4 [24.9-25.8];25.4;24.9;25.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1991;Western Pacific;Australia;20+;Male;25.9 [25.5-26.3];25.9;25.5;26.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1993;Western Pacific;Australia;20+;Male;26.1 [25.7-26.4];26.1;25.7;26.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2000;Western Pacific;Australia;20+;Male;26.7 [26.4-27.1];26.7;26.4;27.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2002;Western Pacific;Australia;20+;Male;26.9 [26.6-27.3];26.9;26.6;27.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1981;Europe;Austria;20+;Male;24.8 [23.3-26.3];24.8;23.3;26.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1983;Europe;Austria;20+;Male;24.9 [23.5-26.3];24.9;23.5;26.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1988;Europe;Austria;20+;Male;25.1 [23.8-26.5];25.1;23.8;26.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1990;Europe;Austria;20+;Male;25.3 [23.9-26.6];25.3;23.9;26.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1997;Europe;Austria;20+;Male;25.7 [24.3-27.1];25.7;24.3;27.1;
